"repeat_id","outer_fold","inner_fold","t_end","lambda","log10_lambda","k_use","accuracy"
4,3,1,16,0.00359381366380463,-2.44444444444444,9,0.691275167785235
4,3,1,16,0.00215443469003188,-2.66666666666667,9,0.704697986577181
4,3,1,16,0.00129154966501488,-2.88888888888889,9,0.718120805369127
4,3,1,16,0.000774263682681127,-3.11111111111111,9,0.731543624161074
4,3,1,16,0.000464158883361278,-3.33333333333333,9,0.724832214765101
4,3,1,16,0.000278255940220713,-3.55555555555556,9,0.718120805369127
4,3,1,16,0.000166810053720006,-3.77777777777778,9,0.711409395973154
4,3,1,16,1e-04,-4,9,0.711409395973154
4,3,2,16,0.01,-2,8,0.673469387755102
4,3,2,16,0.00599484250318941,-2.22222222222222,8,0.714285714285714
4,3,2,16,0.00359381366380463,-2.44444444444444,8,0.748299319727891
4,3,2,16,0.00215443469003188,-2.66666666666667,8,0.775510204081633
4,3,2,16,0.00129154966501488,-2.88888888888889,8,0.789115646258503
4,3,2,16,0.000774263682681127,-3.11111111111111,8,0.768707482993197
4,3,2,16,0.000464158883361278,-3.33333333333333,8,0.768707482993197
4,3,2,16,0.000278255940220713,-3.55555555555556,8,0.768707482993197
4,3,2,16,0.000166810053720006,-3.77777777777778,8,0.768707482993197
4,3,2,16,1e-04,-4,8,0.768707482993197
4,3,3,16,0.01,-2,8,0.708333333333333
4,3,3,16,0.00599484250318941,-2.22222222222222,8,0.722222222222222
4,3,3,16,0.00359381366380463,-2.44444444444444,8,0.729166666666667
4,3,3,16,0.00215443469003188,-2.66666666666667,8,0.722222222222222
4,3,3,16,0.00129154966501488,-2.88888888888889,8,0.722222222222222
4,3,3,16,0.000774263682681127,-3.11111111111111,8,0.729166666666667
4,3,3,16,0.000464158883361278,-3.33333333333333,8,0.736111111111111
4,3,3,16,0.000278255940220713,-3.55555555555556,8,0.736111111111111
4,3,3,16,0.000166810053720006,-3.77777777777778,8,0.736111111111111
4,3,3,16,1e-04,-4,8,0.736111111111111
4,3,4,16,0.01,-2,8,0.73943661971831
4,3,4,16,0.00599484250318941,-2.22222222222222,8,0.753521126760563
4,3,4,16,0.00359381366380463,-2.44444444444444,8,0.76056338028169
4,3,4,16,0.00215443469003188,-2.66666666666667,8,0.767605633802817
4,3,4,16,0.00129154966501488,-2.88888888888889,8,0.774647887323944
4,3,4,16,0.000774263682681127,-3.11111111111111,8,0.767605633802817
4,3,4,16,0.000464158883361278,-3.33333333333333,8,0.767605633802817
4,3,4,16,0.000278255940220713,-3.55555555555556,8,0.767605633802817
4,3,4,16,0.000166810053720006,-3.77777777777778,8,0.76056338028169
4,3,4,16,1e-04,-4,8,0.76056338028169
4,3,5,16,0.01,-2,8,0.711267605633803
